No.,Class,SMILES,pIC50,Y-Label,MW,RBN,nCIC,nHDon,nHAcc,ALogP,TPSA,Qm,Energy,Dipole moment,HOMO,LUMO,HOMO-LUMO gap,Article Title,Reference
690,Steroid,C[C@@]12C([C@@H](CC3C2CC[C@]4(C3CCC4=O)C)O)=CCCC1,7.301029996,Active,288.47,0,4,1,2,3.333,37.3,0.200234959,-891.3173328,2.8271,-0.22804,-0.01122,0.21682,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-28
691,Steroid,C[C@]12C(CCC3C1CC[C@]4(C3CCC4=O)C)=C(CCC2)OC(CCC)=O,5.823908741,Inactive,358.57,4,4,0,3,4.895,43.37,0.216257367,-1122.619428,2.2297,-0.22608,-0.01212,0.21396,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-29
692,Steroid,C[C@]12C(CCC3C1CC[C@]4(C3CCC4=O)C)=C(CCC2)OC(CCCCC)=O,5.744727495,Inactive,386.63,6,4,0,3,5.808,43.37,0.212273106,-1201.241843,2.4296,-0.22524,-0.01194,0.2133,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-30
693,Steroid,C[C@]12C(CCC3C1CC[C@]4(C3CCC4=O)C)=C(CCC2)OC(C5=CC=CC=C5)=O,6.193820026,Active,392.58,3,5,0,3,5.437,43.37,0.201346541,-1235.715887,4.1366,-0.22471,-0.04639,0.17832,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-31
694,Steroid,C[C@]12C(CCC3C1CC[C@]4(C3CCC4=O)C)=C(CCC2)OC(C)=O,6.180456064,Active,330.51,2,4,0,3,3.772,43.37,0.219675093,-1043.991222,2.2841,-0.22618,-0.01225,0.21393,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-32
695,Steroid,C[C@@]12C(CCC2=O)C3CCC4=C(OC(C)=O)CCC[C@]4(C)C3CC1,5.443697499,Inactive,330.51,2,4,0,3,3.772,43.37,0.221304222,-1043.977686,2.6622,-0.22818,-0.01202,0.21616,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-33
696,Steroid,C[C@@]12C(CCC2=O)C3C[C@H](O)C4=CCCC[C@]4(C)C3CC1,6,Inactive,288.47,0,4,1,2,3.333,37.3,0.201914571,-891.3069541,2.8898,-0.2294,-0.01094,0.21846,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-34
697,Steroid,C[C@@]12C(CCC2=O)C3C[C@@H](O)C4=CCCC[C@]4(C)C3CC1,6.026872146,Active,288.47,0,4,1,2,3.333,37.3,0.203051816,-891.3080281,4.14,-0.22652,-0.00778,0.21874,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-35
698,Steroid,C[C@@]12C(CCCC2)=CCC3C1CC[C@]4(C3CCC4=O)C,6.180456064,Active,272.47,0,4,0,1,4.435,17.07,0.191230188,-816.1119136,2.867,-0.2267,-0.01036,0.21634,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-36
699,Steroid,C[C@]12C(C3CC=C4CCCC[C@@]4(C3CC2)CO)CCC1=O,5.161150909,Inactive,288.47,1,4,1,2,3.344,37.3,0.200101184,-891.2978224,3.1377,-0.22357,-0.00756,0.21601,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-37
700,Steroid,C[C@@]12C([C@H](CCC2)O)=CCC3C1CC[C@]4(C3CCC4=O)C,6.552841969,Active,288.47,0,4,1,2,3.333,37.3,0.200560143,-891.3191616,3.4286,-0.22539,-0.00988,0.21551,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-38
701,Steroid,C[C@@]12C([C@H](CCC2)OC(C)=O)=CCC3C1CC[C@]4(C3CCC4=O)C,6.15490196,Active,330.51,2,4,0,3,3.712,43.37,0.213269667,-1043.990961,2.6955,-0.23006,-0.01256,0.2175,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-39
702,Steroid,C[C@]12C([C@H](CCC2)OC(C)=O)=CCC3C1CC[C@]4(C3CCC4=O)C,6,Inactive,330.51,2,4,0,3,3.712,43.37,0.215242074,-1043.985848,2.195,-0.22989,-0.01208,0.21781,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-40
703,Steroid,C[C@]12C(C3CC=C4[C@@H](CCC[C@@]4(C3CC2)CO)O)CCC1=O,4.958607315,Inactive,304.47,1,4,2,3,2.243,57.53,0.20759314,-966.5042961,3.9713,-0.2226,-0.00709,0.21551,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-41
704,Steroid,C[C@@]12C([C@@H](CCC2)O)=CCC3C1CC[C@]4(C3CCC4=O)C,6.065501549,Active,288.47,0,4,1,2,3.333,37.3,0.20021798,-891.3176408,4.0168,-0.22777,-0.01022,0.21755,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-42
706,Steroid,C[C@]12C(C3CC=C4[C@H](CCC[C@@]4(C3CC2)CO)O)CCC1=O,7.508638306,Active,304.47,1,4,2,3,2.243,57.53,0.21109592,-966.5140162,5.6376,-0.22696,-0.0084,0.21856,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-43
707,Steroid,C[C@]12C(C3CC=C4[C@H](CCC[C@@]4(C3CC2)CO)OC)CCC1=O,3.823908741,Inactive,318.5,2,4,1,3,2.651,46.53,0.202085057,-1005.821581,4.9221,-0.22807,-0.00955,0.21852,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-44
708,Steroid,C[C@@]12C([C@H](CCC2)C)=CCC3C1CC[C@]4(C3CCC4=O)C,5.744727495,Inactive,286.5,0,4,0,1,4.687,17.07,0.190517941,-855.4240667,2.8957,-0.22683,-0.01019,0.21664,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-45
709,Steroid,C[C@@]12C([C@H](CCC2)CC)=CCC3C1CC[C@]4(C3CCC4=O)C,5.346787486,Inactive,300.53,1,4,0,1,5.143,17.07,0.189551611,-894.7353984,2.8768,-0.22664,-0.01033,0.21631,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-46
710,Steroid,C[C@@]12C([C@H](CCC2)CCC)=CCC3C1CC[C@]4(C3CCC4=O)C,5.259637311,Inactive,314.56,2,4,0,1,5.599,17.07,0.188441386,-934.0490582,2.8209,-0.22656,-0.01037,0.21619,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-47
711,Steroid,C[C@]12C(C(CCC2)=O)CCC3C1CC[C@]4(C3CCC4=O)C,5.619788758,Inactive,288.47,0,4,0,2,3.333,34.14,0.208162592,-891.3296517,2.0316,-0.23256,-0.01393,0.21863,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-48
712,Steroid,C[C@]12C(C([C@@H](CC2)O)=O)CCC3C1CC[C@]4(C3CCC4=O)C,6.173925197,Active,304.47,0,4,1,3,2.653,54.37,0.21729046,-966.5571493,1.589,-0.23379,-0.02886,0.20493,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-49
713,Steroid,C[C@]12C(C3CCC4=C(C(CC[C@@]4(C3CC2)C)=O)O)CCC(O1)=O,5.732828272,Inactive,318.45,0,4,1,4,2.583,63.6,0.243261429,-1040.580704,2.7813,-0.22641,-0.05716,0.16925,Molecular docking and QSAR study on steroidal compounds as aromatase inhibitors,Eur J Med Chem. 2010;45(12):5612-50
714,Non-Steroid,ClC1=CC=C(C(CN2C3=CC=C2)/C(C3=O)=C/C4=CC=NC=C4)C=C1,6.832682665,Active,334.82,2,4,0,2,4.193,34.89,0.181982436,-1416.059277,5.7809,-0.22985,-0.08396,0.14589,MR 20492 and MR 20494: two indolizinone derivatives that strongly inhibit human aromatase,J Steroid Biochem Mol Biol. 1999;70(1-3):59-71
715,Non-Steroid,ClC1=CC=C(C(CN2C3=CC=C2)/C(C3=O)=C/C4=CN=CC=C4)C=C1,6.954677021,Active,334.82,2,4,0,2,4.193,34.89,0.178964385,-1416.059009,6.174,-0.2239,-0.07527,0.14863,MR 20492 and MR 20494: two indolizinone derivatives that strongly inhibit human aromatase,J Steroid Biochem Mol Biol. 1999;70(1-3):59-71
716,Non-Steroid,O=C1N(C)C2=C3C(OCO3)=CC=C2C(OC)=C1,5.406713933,Inactive,233.24,1,3,0,5,0.728,49.69,0.287175,-819.5316686,3.1572,-0.20769,-0.03637,0.17132,Natural compounds with aromatase inhibitory activity: an update,Planta Med. 2010;76(11):1087-93
717,Non-Steroid,C[C@](C1OC(C[C@H]1O)=O)(OC2=CC(C)=C(C(O)=C23)C4=C(C5=C(C=C4)O[C@](C6OC(C[C@@H]6C)=O)(C)CC5=O)O)CC3=O,4.782516056,Inactive,566.6,3,6,3,11,2.818,165.89,0.290129845,-1988.769067,6.5103,-0.21582,-0.0709,0.14492,Natural compounds with aromatase inhibitory activity: an update,Planta Med. 2010;76(11):1087-94
718,Non-Steroid,C[C@](C1OC(C[C@H]1O)=O)(OC2=C(C(C)=CC(O)=C23)C4=C(C5=C(C=C4)O[C@](C6OC(C[C@@H]6C)=O)(C)CC5=O)O)CC3=O,4.612610174,Inactive,566.6,3,6,3,11,2.818,165.89,0.29198138,-1988.773139,7.4914,-0.22365,-0.08312,0.14053,Natural compounds with aromatase inhibitory activity: an update,Planta Med. 2010;76(11):1087-95
719,Non-Steroid,CC(O[C@H]1[C@@H](CCCCC)OC(C2=CC=C(OC)C=C21)=O)=O,5.795880017,Inactive,306.39,7,2,0,5,3.561,61.83,0.239178205,-1037.208413,3.0968,-0.23503,-0.04148,0.19355,Natural compounds with aromatase inhibitory activity: an update,Planta Med. 2010;76(11):1087-96
720,Non-Steroid,OC(C=C1C)=CC2=C1OC(C=C(O)C=C3C)=C3C(O2)=O,5.27572413,Inactive,272.27,0,3,2,5,3.43,83.81,0.303659656,-954.9297855,5.2532,-0.22005,-0.04017,0.17988,Natural compounds with aromatase inhibitory activity: an update,Planta Med. 2010;76(11):1087-97
721,Non-Steroid,O=C(CCCCCCC/C=C\C/C=C\C/C=C\CC)OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,5.107905397,Inactive,442.66,20,0,5,7,3.615,127.45,0.231803425,-1466.322431,4.6835,-0.22476,-0.01874,0.20602,Natural compounds with aromatase inhibitory activity: an update,Planta Med. 2010;76(11):1087-98
723,Non-Steroid,OC1=CC(O)=C(C([C@@H](C2=C3C(C([C@H](O)[C@@H](C4=CC=C(O)C=C4)O3)=O)=C(O)C=C2O)[C@H](C5=CC=C(O)C=C5)O6)=O)C6=C1,4.946921557,Inactive,558.52,3,6,7,11,3.715,194.21,0.293494857,-1983.881485,3.7394,-0.21492,-0.06216,0.15276,Natural compounds with aromatase inhibitory activity: an update,Planta Med. 2010;76(11):1087-99
724,Non-Steroid,OC1=C(C(/C=C/C2=CC=C(O)C=C2)=O)C=CC(O)=C1,5.420216403,Inactive,256.27,3,2,3,4,2.9,77.76,0.265174806,-879.6790363,2.717,-0.2138,-0.05863,0.15517,Natural compounds with aromatase inhibitory activity: an update,Planta Med. 2010;76(11):1087-100
725,Non-Steroid,O=C1C2=C([H])C=C(O)C=C2O[C@H](C3=CC=C(O)C=C3)C1,6.468521083,Active,256.27,1,3,2,4,2.565,66.76,0.260550161,-879.7072141,1.3327,-0.2238,-0.04645,0.17735,Natural compounds with aromatase inhibitory activity: an update,Planta Med. 2010;76(11):1087-101
726,Non-Steroid,O=C1C2=C(O)C=C(O)C=C2O[C@H](C3=CC=C([H])C=C3)C1,4.728158393,Inactive,256.27,1,3,2,4,2.565,66.76,0.258577516,-879.7225048,1.9177,-0.22059,-0.05293,0.16766,Natural compounds with aromatase inhibitory activity: an update,Planta Med. 2010;76(11):1087-102
728,Non-Steroid,O=C1C2=C(O)C([H])=C(O)C([H])=C2OC(C3=CC([H])=C(OC)C([H])=C3)C1[H],4.966576245,Inactive,286.3,2,3,2,5,2.549,75.99,0.270201114,-994.2489208,2.9371,-0.22085,-0.05175,0.1691,Natural compounds with aromatase inhibitory activity: an update,Planta Med. 2010;76(11):1087-103
729,Non-Steroid,OC(C(O)=C1)=C(O)C=C1C2C(O)C(C3=C(O)C([H])=C(O)C([H])=C3O2)=O,5,Inactive,320.27,1,3,6,8,1.217,147.68,0.3452416,-1180.579445,4.265,-0.22082,-0.0565,0.16432,Natural compounds with aromatase inhibitory activity: an update,Planta Med. 2010;76(11):1087-104
730,Non-Steroid,OC(C(O)=C1)=C([H])C=C1C2C(O)C(C3=C(O)C([H])=C(O)C(O)=C3O2)=O,4.958607315,Inactive,320.27,1,3,6,8,1.217,147.68,0.334328457,-1180.56271,2.8863,-0.1996,-0.05766,0.14194,Natural compounds with aromatase inhibitory activity: an update,Planta Med. 2010;76(11):1087-105
734,Non-Steroid,OC1=CC(O)=C(C(C(C2=CC=C(OC)C=C2)=CO3)=O)C3=C1,4.903089987,Inactive,284.28,2,3,2,5,2.316,79.9,0.261442909,-993.0382233,3.7401,-0.20814,-0.05392,0.15422,Natural compounds with aromatase inhibitory activity: an update,Planta Med. 2010;76(11):1087-106
735,Non-Steroid,CC1=CCC2=C1C([C@H](OC(C)=O)[C@H](C)C[C@@H](OC)/C=C(C)\C2)=O,6.677780705,Active,318.45,3,2,0,4,3.281,52.6,0.239549936,-1076.443807,0.625,-0.2232,-0.04449,0.17871,Natural compounds with aromatase inhibitory activity: an update,Planta Med. 2010;76(11):1087-107
736,Non-Steroid,CC(C)C(C=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(C(O)=O)CCC3,6.494850022,Active,300.48,2,3,1,2,5.364,37.3,0.2109406,-929.4699602,1.4133,-0.22102,-0.00083,0.22019,Natural compounds with aromatase inhibitory activity: an update,Planta Med. 2010;76(11):1087-108
737,Non-Steroid,OC(C(C/C=C(C)/C)=C1O)=CC2=C1C(C3=C(CCC(C)C)C(O)=C(O)C=C3O2)=O,5.161150909,Inactive,398.49,5,3,4,6,5.858,111.13,0.272308182,-1343.460807,3.808,-0.20372,-0.05606,0.14766,Natural compounds with aromatase inhibitory activity: an update,Planta Med. 2010;76(11):1087-109
738,Non-Steroid,OC(C(C/C=C(C)/C)=C1O)=CC2=C1C(C3=C(CCC(C)(O)C)C(OC)=C(O)C=C3O2)=O,5.283996656,Inactive,428.52,6,3,4,7,4.758,120.36,0.277174814,-1457.975442,3.4789,-0.20722,-0.0544,0.15282,Natural compounds with aromatase inhibitory activity: an update,Planta Med. 2010;76(11):1087-110
739,Non-Steroid,OC(C(C/C=C(C)/C)=C1O)=CC2=C1C(C3=C(CCC(C)C)C(OC)=C(O)C=C3O2)=O,4.684029655,Inactive,412.52,6,3,3,6,6.109,100.13,0.26007631,-1382.759344,3.0312,-0.20887,-0.05634,0.15253,Natural compounds with aromatase inhibitory activity: an update,Planta Med. 2010;76(11):1087-111
742,Non-Steroid,O=C(C1=CC=CC(OC)=C1CC/2)C2=C\C3=CC=NC=C3,5.200659451,Inactive,265.33,2,3,0,3,3.096,39.19,0.195724514,-862.0251156,5.0576,-0.22698,-0.07595,0.15103,New aromatase inhibitors. Synthesis and biological activity of pyridyl-substituted tetralone derivatives,J Med Chem. 1991;34(9):2685-91
743,Non-Steroid,O=C(C1=CC=C(OC)C=C1CC/2)C2=C\C3=CC=NC=C3,5.050609993,Inactive,265.33,2,3,0,3,3.096,39.19,0.204739257,-862.0281075,4.7077,-0.23055,-0.07305,0.1575,New aromatase inhibitors. Synthesis and biological activity of pyridyl-substituted tetralone derivatives,J Med Chem. 1991;34(9):2685-92
744,Non-Steroid,O=C(C1=CC(OC)=CC=C1CC/2)C2=C\C3=CC=NC=C3,4.886056648,Inactive,265.33,2,3,0,3,3.096,39.19,0.202723057,-862.0262956,2.7923,-0.22474,-0.07889,0.14585,New aromatase inhibitors. Synthesis and biological activity of pyridyl-substituted tetralone derivatives,J Med Chem. 1991;34(9):2685-93
745,Non-Steroid,O=C(C1=CC=CC(O)=C1CC/2)C2=C\C3=CC=NC=C3,6.161150909,Active,251.3,1,3,1,3,2.845,50.19,0.208318125,-822.7187177,4.7331,-0.23075,-0.0776,0.15315,New aromatase inhibitors. Synthesis and biological activity of pyridyl-substituted tetralone derivatives,J Med Chem. 1991;34(9):2685-94
746,Non-Steroid,O=C(C1=CC=C(O)C=C1CC/2)C2=C\C3=CC=NC=C3,5.065501549,Inactive,251.3,1,3,1,3,2.845,50.19,0.216879656,-822.7217323,4.0482,-0.23475,-0.07442,0.16033,New aromatase inhibitors. Synthesis and biological activity of pyridyl-substituted tetralone derivatives,J Med Chem. 1991;34(9):2685-95
747,Non-Steroid,O=C(C1=CC(O)=CC=C1CC/2)C2=C\C3=CC=NC=C3,5.522878745,Inactive,251.3,1,3,1,3,2.845,50.19,0.215533875,-822.7195628,2.3595,-0.22867,-0.08096,0.14771,New aromatase inhibitors. Synthesis and biological activity of pyridyl-substituted tetralone derivatives,J Med Chem. 1991;34(9):2685-96
748,Non-Steroid,O=C1C(CC2=CC=NC=C2)CCC3=CC=CC=C31,5.366531544,Inactive,237.32,2,3,0,2,3.152,29.96,0.183772788,-748.7229294,5.4438,-0.24108,-0.05777,0.18331,New aromatase inhibitors. Synthesis and biological activity of pyridyl-substituted tetralone derivatives,J Med Chem. 1991;34(9):2685-97
749,Non-Steroid,O=C1C(CC2=CC=NC=C2)CCC3=C(OC)C=CC=C31,5.657577319,Inactive,267.35,3,3,0,3,3.135,39.19,0.196131405,-863.2455692,6.5671,-0.22705,-0.05349,0.17356,New aromatase inhibitors. Synthesis and biological activity of pyridyl-substituted tetralone derivatives,J Med Chem. 1991;34(9):2685-98
750,Non-Steroid,O=C1C(CC2=CC=NC=C2)CCC3=CC(OC)=CC=C31,5.48148606,Inactive,267.35,3,3,0,3,3.135,39.19,0.204456784,-863.2480073,5.6214,-0.23038,-0.04821,0.18217,New aromatase inhibitors. Synthesis and biological activity of pyridyl-substituted tetralone derivatives,J Med Chem. 1991;34(9):2685-99
751,Non-Steroid,O=C1C(CC2=CC=NC=C2)CCC3=CC=C(OC)C=C31,5.102372909,Inactive,267.35,3,3,0,3,3.135,39.19,0.203071405,-863.246346,4.1896,-0.22465,-0.05682,0.16783,New aromatase inhibitors. Synthesis and biological activity of pyridyl-substituted tetralone derivatives,J Med Chem. 1991;34(9):2685-100
752,Non-Steroid,O=C1C(CC2=CC=NC=C2)CCC3=C(O)C=CC=C31,6.698970004,Active,253.32,2,3,1,3,2.884,50.19,0.209591353,-823.9411363,4.7609,-0.23089,-0.05826,0.17263,New aromatase inhibitors. Synthesis and biological activity of pyridyl-substituted tetralone derivatives,J Med Chem. 1991;34(9):2685-101
753,Non-Steroid,O=C1C(CC2=CC=NC=C2)CCC3=CC(O)=CC=C31,5.207608311,Inactive,253.32,2,3,1,3,2.884,50.19,0.215901765,-823.9416688,5.0342,-0.23469,-0.04952,0.18517,New aromatase inhibitors. Synthesis and biological activity of pyridyl-substituted tetralone derivatives,J Med Chem. 1991;34(9):2685-102
754,Non-Steroid,O=C1C(CC2=CC=NC=C2)CCC3=CC=C(O)C=C31,5.30980392,Inactive,253.32,2,3,1,3,2.884,50.19,0.215243294,-823.9396032,4.2097,-0.22867,-0.05927,0.1694,New aromatase inhibitors. Synthesis and biological activity of pyridyl-substituted tetralone derivatives,J Med Chem. 1991;34(9):2685-103
755,Non-Steroid,[H]C1=CC=C(C(/C(C(C2=CC=CC=C2)O3)=C/C4=CC=NC=C4)=O)C3=C1,6.096910013,Active,313.37,2,4,0,3,3.861,39.19,0.173541051,-1014.441981,2.6103,-0.23058,-0.08691,0.14367,New aromatase inhibitors. Synthesis and inhibitory activity of pyridinyl-substituted flavanone derivatives,Bioorg Med Chem Lett. 2002;12(7):1059-61
756,Non-Steroid,[H]C1=CC=C(C(/C(C(C2=CC=CC=C2)O3)=C\C4=CC=NC=C4)=O)C3=C1,5.48148606,Inactive,313.37,2,4,0,3,3.861,39.19,0.174359026,-1014.44569,4.3977,-0.23555,-0.08346,0.15209,New aromatase inhibitors. Synthesis and inhibitory activity of pyridinyl-substituted flavanone derivatives,Bioorg Med Chem Lett. 2002;12(7):1059-62
757,Non-Steroid,O=C1C2=CC=C(OC)C=C2OC(C3=CC=CC=C3)/C1=C\C4=CC=NC=C4,6.207608311,Active,343.4,3,4,0,4,3.845,48.42,0.194750488,-1128.974749,3.904,-0.22816,-0.08183,0.14633,New aromatase inhibitors. Synthesis and inhibitory activity of pyridinyl-substituted flavanone derivatives,Bioorg Med Chem Lett. 2002;12(7):1059-63
758,Non-Steroid,O=C1C2=CC=C(OC)C=C2OC(C3=CC=CC=C3)/C1=C/C4=CC=NC=C4,5.795880017,Inactive,343.4,3,4,0,4,3.845,48.42,0.193365512,-1128.970702,4.5632,-0.23045,-0.07742,0.15303,New aromatase inhibitors. Synthesis and inhibitory activity of pyridinyl-substituted flavanone derivatives,Bioorg Med Chem Lett. 2002;12(7):1059-64
759,Non-Steroid,O=C1C2=C(C(CN3C=NC=C3)=CC=C2[N+]([O-])=O)OC4=CC=CC=C41,4.397940009,Inactive,321.31,3,4,0,5,2.535,93.85,0.215689486,-1119.475715,4.6812,-0.23158,-0.09281,0.13877,"Novel highly potent and selective nonsteroidal aromatase inhibitors: synthesis, biological evaluation and structure-activity relationships investigation",J Med Chem. 2010;53(14):5347-51
760,Non-Steroid,O=C1C2=C(C(CN3C=NC=C3)=CC([N+]([O-])=O)=C2)OC4=CC=CC=C41,4.27572413,Inactive,321.31,3,4,0,5,2.535,93.85,0.225160771,-1119.492874,4.8579,-0.23234,-0.09986,0.13248,"Novel highly potent and selective nonsteroidal aromatase inhibitors: synthesis, biological evaluation and structure-activity relationships investigation",J Med Chem. 2010;53(14):5347-52
761,Non-Steroid,O=C1C2=C(C(CN3C=NC=C3)=C([N+]([O-])=O)C=C2)OC4=CC=CC=C41,2.721246399,Inactive,321.31,3,4,0,5,2.535,93.85,0.217523029,-1119.483389,3.8955,-0.22811,-0.11199,0.11612,"Novel highly potent and selective nonsteroidal aromatase inhibitors: synthesis, biological evaluation and structure-activity relationships investigation",J Med Chem. 2010;53(14):5347-53
762,Non-Steroid,O=C1C2=C(C(CN3C=NC=C3)=CC=C2[N+]([O-])=O)SC4=CC=CC=C41,4.782516056,Inactive,337.38,3,4,0,4,3.094,108.95,0.202612571,-1442.436879,3.8907,-0.23141,-0.09473,0.13668,"Novel highly potent and selective nonsteroidal aromatase inhibitors: synthesis, biological evaluation and structure-activity relationships investigation",J Med Chem. 2010;53(14):5347-54
763,Non-Steroid,O=C1C2=C(C(CN3C=NC=C3)=CC=C2[N+]([O-])=O)OC4=NC=CC=C41,3.995678626,Inactive,322.3,3,4,0,6,1.924,106.74,0.227317647,-1135.517773,5.284,-0.23696,-0.1007,0.13626,"Novel highly potent and selective nonsteroidal aromatase inhibitors: synthesis, biological evaluation and structure-activity relationships investigation",J Med Chem. 2010;53(14):5347-55
764,Non-Steroid,O=C1C2=C(C(CN3C=NC=C3)=CC=C2[H])OC4=CC=CC=C41,4.769551079,Inactive,276.31,2,4,0,3,2.641,48.03,0.196691879,-914.9944986,2.8794,-0.22262,-0.07261,0.15001,"Novel highly potent and selective nonsteroidal aromatase inhibitors: synthesis, biological evaluation and structure-activity relationships investigation",J Med Chem. 2010;53(14):5347-56
765,Non-Steroid,O=C1C2=C(C(CN3C=NC=C3)=CC=C2[H])SC4=CC=CC=C41,5.400116928,Inactive,292.38,2,4,0,2,3.199,63.13,0.178261939,-1237.956783,2.787,-0.22255,-0.07547,0.14708,"Novel highly potent and selective nonsteroidal aromatase inhibitors: synthesis, biological evaluation and structure-activity relationships investigation",J Med Chem. 2010;53(14):5347-57
766,Non-Steroid,O=C1C2=C(C=C(CN3C=NC=C3)C=C2[H])OC4=CC=CC=C41,3.408935393,Inactive,276.31,2,4,0,3,2.641,48.03,0.20259097,-914.9953396,0.7708,-0.2292,-0.07076,0.15844,"Novel highly potent and selective nonsteroidal aromatase inhibitors: synthesis, biological evaluation and structure-activity relationships investigation",J Med Chem. 2010;53(14):5347-58
767,Non-Steroid,O=C1C2=C(C=CC(CN3C=NC=C3)=C2[H])OC4=CC=CC=C41,2.102372909,Inactive,276.31,2,4,0,3,2.641,48.03,0.203579152,-914.9957766,4.2494,-0.22494,-0.07328,0.15166,"Novel highly potent and selective nonsteroidal aromatase inhibitors: synthesis, biological evaluation and structure-activity relationships investigation",J Med Chem. 2010;53(14):5347-59
768,Non-Steroid,O=C1C2=C(C=CC=C2CCN3C=NC=C3)OC4=CC=CC=C41,3.823908741,Inactive,290.34,3,4,0,3,2.962,48.03,0.195931278,-954.3046417,6.7553,-0.21618,-0.07104,0.14514,"Novel highly potent and selective nonsteroidal aromatase inhibitors: synthesis, biological evaluation and structure-activity relationships investigation",J Med Chem. 2010;53(14):5347-60
769,Non-Steroid,O=[N+](C1=CC(OC2=CC=CC=C2)=C(CN3C=NC=C3)C=C1)[O-],4.941194513,Inactive,295.32,5,3,0,4,2.961,72.87,0.212082857,-1007.343178,5.2453,-0.23161,-0.09163,0.13998,"Novel highly potent and selective nonsteroidal aromatase inhibitors: synthesis, biological evaluation and structure-activity relationships investigation",J Med Chem. 2010;53(14):5347-61
770,Non-Steroid,O=[N+](C1=CC(SC2=CC=CC=C2)=C(CN3C=NC=C3)C=C1)[O-],5.252588192,Inactive,311.39,5,3,0,3,3.519,88.94,0.189724829,-1330.313064,4.3125,-0.23395,-0.09797,0.13598,"Novel highly potent and selective nonsteroidal aromatase inhibitors: synthesis, biological evaluation and structure-activity relationships investigation",J Med Chem. 2010;53(14):5347-62
771,Non-Steroid,[H]C1=CC(OC2=CC=CC=C2)=C(CN3C=NC=C3)C=C1,3.409827168,Inactive,250.32,4,3,0,2,3.067,27.05,0.182307848,-802.8425771,4.9793,-0.22076,-0.01619,0.20457,"Novel highly potent and selective nonsteroidal aromatase inhibitors: synthesis, biological evaluation and structure-activity relationships investigation",J Med Chem. 2010;53(14):5347-63
773,Non-Steroid,O=C(C1=CC([H])=CC=C1CC/2)C2=C\C3C=NC=N3,6.585026652,Active,224.28,1,3,0,3,2.502,41.79,0.191116103,-725.4026425,4.6317,-0.24918,-0.07377,0.17541,Nonsteroidal aromatase inhibitors: recent advances,Med Res Rev. 2002;22(3):282-304
774,Non-Steroid,O=C(C1=CC([H])=CC=C1CC/2)C2=C/C3C=NC=N3,6.769551079,Active,224.28,1,3,0,3,2.502,41.79,0.191116103,-725.4026425,4.6317,-0.24918,-0.07377,0.17541,Nonsteroidal aromatase inhibitors: recent advances,Med Res Rev. 2002;22(3):282-305
775,Non-Steroid,O=C(C1=CC(OC)=CC=C1CC/2)C2=C\C3C=NC=N3,7.387216143,Active,254.31,2,3,0,4,2.485,51.02,0.215153212,-839.926113,0.9321,-0.22065,-0.0698,0.15085,Nonsteroidal aromatase inhibitors: recent advances,Med Res Rev. 2002;22(3):282-306
